sj,X,Y,Z
1,-24,0,-46
1,-32,2,-50
1,-42,4,-50
1,-50,6,-46
1,-54,10,-38
1,-24,-8,-42
1,-32,-8,-48
1,-42,-6,-50
1,-52,-2,-46
1,-60,2,-36
1,-26,-18,-36
1,-34,-16,-40
1,-44,-14,-42
1,-54,-12,-40
1,-62,-8,-34
1,-28,-26,-32
1,-36,-24,-32
1,-46,-22,-36
1,-56,-20,-36
1,-64,-16,-30
2,-16,0,-32
2,-20,0,-42
2,-30,4,-48
2,-40,8,-48
2,-48,14,-44
2,-16,-14,-32
2,-24,-10,-38
2,-32,-8,-46
2,-42,-4,-48
2,-52,2,-44
2,-18,-24,-26
2,-26,-20,-32
2,-34,-18,-38
2,-44,-14,-42
2,-54,-8,-42
2,-20,-34,-22
2,-28,-30,-26
2,-36,-26,-32
2,-46,-22,-36
2,-56,-16,-38
3,-32,-10,-48
3,-40,-6,-50
3,-48,2,-46
3,-54,8,-42
3,-28,-16,-40
3,-40,-14,-46
3,-50,-8,-46
3,-56,0,-38
3,-34,-24,-34
3,-44,-20,-38
3,-54,-14,-40
3,-60,-8,-34
3,-38,-34,-32
3,-48,-26,-32
3,-58,-22,-34
3,-66,-16,-30
3,-42,-42,-30
3,-52,-36,-30
3,-62,-32,-30
3,-68,-26,-26
4,-24,14,-42
4,-32,12,-44
4,-40,16,-46
4,-46,16,-42
4,-18,-6,-36
4,-26,-6,-46
4,-36,-4,-50
4,-46,0,-48
4,-54,4,-40
4,-20,-16,-34
4,-32,-16,-36
4,-42,-16,-42
4,-52,-12,-44
4,-58,-6,-36
4,-24,-26,-28
4,-36,-26,-30
4,-46,-24,-34
4,-56,-22,-36
4,-64,-18,-32
4,-26,-36,-22
4,-36,-36,-30
4,-48,-34,-30
4,-58,-32,-30
4,-66,-28,-28
4,-32,-58,-20
4,-42,-52,-26
4,-54,-40,-30
4,-64,-32,-28
4,-70,-26,-24
5,-46,-4,-50
5,-38,2,-50
5,-36,-10,-48
5,-28,-2,-48
5,-48,8,-46
5,-52,-12,-44
5,-20,-6,-44
5,-54,0,-44
5,-26,-14,-42
5,-42,-16,-40
5,-60,-8,-40
5,-34,-20,-36
5,-56,-20,-36
5,-64,-16,-34
5,-48,-24,-32
5,-20,-16,-32
5,-16,-8,-32
5,-40,-30,-30
5,-26,-26,-30
5,-32,-36,-28
7,-34,-4,-50
7,-42,2,-50
7,-46,-8,-48
7,-38,-14,-46
7,-24,-4,-46
7,-50,-16,-42
7,-28,-16,-40
7,-40,-20,-38
7,-18,-12,-38
7,-16,2,-38
7,-30,-24,-36
7,-54,-22,-36
7,-52,-30,-32
7,-44,-28,-32
7,-54,-48,-30
7,-46,-40,-30
7,-58,-38,-30
7,-22,-18,-30
7,-34,-30,-28
7,-46,-56,-26
7,-40,-48,-26
7,-24,-28,-24
7,-38,-66,-22
7,-28,-74,-20
9,-36,-6,-50
9,-46,-6,-48
9,-28,-4,-48
9,-36,-14,-44
9,-28,-12,-44
9,-22,0,-44
9,-46,-12,-42
9,-54,-4,-42
9,-56,-12,-40
9,-20,-8,-38
9,-46,-22,-36
9,-56,-22,-36
9,-36,-20,-36
9,-26,-18,-36
9,-20,-14,-34
9,-52,-38,-30
9,-46,-30,-30
9,-36,-28,-30
9,-56,-28,-30
9,-26,-24,-30
9,-54,-46,-28
9,-42,-42,-28
9,-18,-20,-28
9,-44,-52,-26
9,-48,-60,-24
9,-58,-56,-24
9,-30,-46,-24
9,-38,-62,-22
9,-32,-54,-20
9,-64,-52,-20
9,-22,-56,-16
10,-44,-8,-48
10,-34,-14,-46
10,-48,-14,-44
10,-54,-2,-44
10,-40,-20,-38
10,-24,-12,-38
10,-60,-6,-38
10,-60,-20,-36
10,-32,-24,-34
10,-64,-12,-34
10,-44,-38,-32
10,-52,-30,-32
10,-38,-46,-28
10,-34,-54,-24
